id,type,chinese,romaji,classification,audioid,english
5602,主詞目,食物,si̍t-bu̍t,食物、飲料、煙酒,5602(1),food
5603,主詞目,風雨,hong-ú,"自然現象,事、物泛稱",5603(1),wind and rain
5604,主詞目,食便領現,tsia̍h-piān-niá-hiān,道德評價,5604(1),Receive after eating
5605,主詞目,面前,bīn-tsîng,"時間節令,空間方位",5605(1),before
5606,主詞目,風俗,hong-sio̍k,相關器具、活動,5606(1),custom
5607,主詞目,食品,si̍t-phín,食物、飲料、煙酒,5607(1),food
5608,主詞目,風度,hong-tōo,氣質態度,5608(1),demeanor
5609,主詞目,風流,hong-liû,,5609(1),romantic
5610,主詞目,面盆,bīn-phûn,"生活用品,理容、化妝",5610(1),basin
5611,主詞目,食穿,tsia̍h-tshīng,生活用品,5611(1),food and clothing
5612,主詞目,食苦,tsia̍h-khóo,生活狀況,5612(1),Eat bitter food
5613,主詞目,食食,tsia̍h-si̍t,飲食行為,5613(1),Eat food
5614,主詞目,風飛沙,hong-pue-sua,自然現象,5614(1),wind flying sand
5615,主詞目,食倯,tsia̍h-sông,,5615(1),Eat
5616,主詞目,面容,bīn-iông,反應、表情,5616(1),face
5617,主詞目,食家己,tsia̍h-ka-kī,相關用語,5617(1),Shi Jiaji
5618,主詞目,食桌,tsia̍h-toh,婚喪喜慶,5618(1),food table
5619,主詞目,香案,hiunn-uànn,相關器具、活動,5619(1),Incense table
5620,主詞目,風氣,hong-khì,相關器具、活動,5620(1),atmosphere
5621,主詞目,飛烏,pue-oo,"魚蝦海獸,食物、飲料、煙酒",5621(1),Feiwu
5622,主詞目,香烌,hiunn-hu,相關器具、活動,5622(1),Xiangyang
5623,主詞目,食祖,tsia̍h-tsóo,相關器具、活動,5623(1),Shizu
5624,主詞目,風神,hong-sîn,,5624(1),wind god
5625,主詞目,食秤頭,tsia̍h-tshìn-thâu,"商業,個性風格",5625(1),Food scale head
5626,主詞目,食堂,si̍t-tn̂g,"飲食行為,建築物、結構",5626(1),canteen
5627,主詞目,面桶,bīn-tháng,"生活用品,理容、化妝",5627(1),noodle bucket
5628,主詞目,食晝,tsia̍h-tàu,飲食行為,5628(1),Eat day
5629,主詞目,食清領便,tsia̍h-tshing-niá-piān,生活狀況,5629(1),Eat clean and defecate
5630,主詞目,飛船,pue-tsûn,交通、運輸,5630(1),spaceship
5631,主詞目,香袋仔,hiunn-tē-á,相關器具、活動,5631(1),Sachet boy
5632,主詞目,食軟驚硬,tsia̍h-nńg-kiann-ngē/tsia̍h-nńg-kiann-ngī,個性風格,5632(1),Eat soft and frighten hard
5633,主詞目,面頂,bīn-tíng,副詞,5633(1),Top of face
5634,主詞目,飛鳥,pue-tsiáu,禽類,5634(1),flying birds
5635,主詞目,風喙口,hong-tshuì-kháu,空間方位,5635(1),Feng Beakou
5636,主詞目,風湧,hong-íng,自然現象,5636(1),wind surge
5637,主詞目,香港跤,hiong-káng-kha,傷疾病痛,5637(1),Hong Kong wrestling
5638,主詞目,風琴,hong-khîm,戲劇、音樂,5638(1),organ
5639,主詞目,風筒,hong-tâng,生活用品,5639(1),Hairdryer
5640,主詞目,香菇,hiunn-koo,"蔬果作物,食物、飲料、煙酒",5640(1),mushroom
5641,主詞目,香菇肉糜,hiunn-koo-bah-muê/hiunn-koo-bah-bê,食物、飲料、煙酒,5641(1),Minced pork with shiitake mushrooms
5642,主詞目,韭菜,kú-tshài,"蔬果作物,食物、飲料、煙酒",5642(1),Chinese chives
5643,主詞目,食菜,tsia̍h-tshài,"飲食行為,相關器具、活動",5643(1),food
5644,主詞目,韭菜花,kú-tshài-hue,"蔬果作物,食物、飲料、煙酒",5644(1),Chive flowers
5645,主詞目,風評,hong-phîng,道德評價,5645(1),Commentary
5646,主詞目,食飯桌,tsia̍h-pn̄g-toh,"生活用品,飲食物具",5646(1),dining table
5647,主詞目,食飯廳,tsia̍h-pn̄g-thiann,"飲食行為,建築物、結構",5647(1),dining room
5648,主詞目,風勢,hong-sè,自然現象,5648(1),wind force
5649,主詞目,面會,biān-huē,,5649(1),meeting
5650,主詞目,食暗,tsia̍h-àm,飲食行為,5650(1),Eat dark
5651,主詞目,香煙,hiunn-ian,"宗族、家庭,相關器具、活動",5651(1),cigarette
5652,主詞目,食補,tsia̍h-póo,"醫療保健,飲食行為",5652(1),Food supplement
5653,主詞目,食補,si̍t-póo,"醫療保健,飲食行為",5653(1),Food supplement
5654,主詞目,風鼓,hong-kóo,"蔬果作物,農林業,生產工具",5654(1),wind drum
5655,主詞目,飛鼠,pue-tshí/pue-tshú,"獸類,相關用語",5655(1),flying squirrel
5656,主詞目,食福,tsia̍h-hok,飲食行為,5656(1),Food blessing
5657,主詞目,面貌,bīn-māu,生理構造,5657(1),face
5658,主詞目,風颱,hong-thai,"氣候溫度,自然現象",5658(1),wind tower
5659,主詞目,首領,siú-líng,"國家、社會、民眾,地位、身世、背景",5659(1),leader
5660,主詞目,風颱尾,hong-thai-bué/hong-thai-bé,"自然現象,災禍,性質、程度",5660(1),Typhoon tail
5661,主詞目,風颱雨,hong-thai-hōo,"氣候溫度,自然現象",5661(1),Typhoon and rain
5662,主詞目,飛彈,hui-tuânn,軍事,5662(1),missile
5663,主詞目,面憂面結,bīn-iu-bīn-kat,反應、表情,5663(1),Worry-faced
5664,主詞目,食漿,tsia̍h-tsiunn,縫紉洗熨,5664(1),Food pulp
5665,主詞目,面模仔,bīn-bôo-á,生理構造,5665(1),Noodle boy
5666,主詞目,面熟,bīn-si̍k,,5666(1),Familiar
5667,主詞目,風蔥,hong-tshang,"蔬果作物,醫療保健",5667(1),Green onions
5668,主詞目,音調,im-tiāu,戲劇、音樂,5668(1),tone
5669,主詞目,食褒,tsia̍h-po,個性風格,5669(1),food praise
5670,主詞目,風調雨順,hong-tiâu-ú-sūn,,5670(1),good weather
5671,主詞目,食醋,tsia̍h-tshòo,心理活動,5671(1),vinegar
5672,主詞目,面積,bīn-tsik,形貌、體積,5672(1),area
5673,主詞目,食膨餅,tsia̍h-phòng-piánn,"飲食行為,待人處事",5673(1),Food puffed cake
5674,主詞目,食錢,tsia̍h-tsînn,"道德評價,政治",5674(1),food money
5675,主詞目,食錢官,tsia̍h-tsînn-kuann,"泛稱,政治",5675(1),money eater
5676,主詞目,風頭,hong-thâu,"自然現象,個性風格",5676(1),Limelight
5677,主詞目,面頭前,bīn-thâu-tsîng,副詞,5677(1),in front of face
5678,主詞目,食頭路,tsia̍h-thâu-lōo,相關用語,5678(1),Shitou Road
5679,主詞目,風溼,hong-sip,傷疾病痛,5679(1),Rheumatism
5680,主詞目,風聲,hong-siann,"自然現象,道德評價",5680(1),Sound of wind
5681,主詞目,食臊,tsia̍h-tsho,飲食行為,5681(1),Smell
5682,主詞目,風聲嗙影,hong-siann-pòng-iánn,,5682(1),Sound of wind and shadow
5683,主詞目,食虧,tsia̍h-khui,"生活狀況,待人處事",5683(1),Loss of food
5684,主詞目,風霜,hong-song,,5684(1),wind and frost
5685,主詞目,風櫃,hong-kuī,生產工具,5685(1),Fenggui
5686,主詞目,食薰,tsia̍h-hun,食物、飲料、煙酒,5686(1),Food smoke
5687,主詞目,香爐,hiunn-lôo,相關器具、活動,5687(1),incense burner
5688,主詞目,風騷,hong-so,個性風格,5688(1),Coquettish
5689,主詞目,風灌,hong-kuàn,生活用品,5689(1),Wind irrigation
5690,主詞目,修,siu,,5690(1),build
5691,主詞目,俺,án,代名詞,5691(1),I
5692,主詞目,倉,tshng,,5692(1),warehouse
5693,主詞目,個,kò,性質、程度,5693(1),indivual
5694,主詞目,倌,kuann,稱謂輩分,5694(1),groom
5695,主詞目,倍,puē,事、物泛稱,5695(1),times
5696,主詞目,修正,siu-tsìng,一般動詞-行為動詞,5696(1),Correction
5697,主詞目,修行,siu-hīng,,5697(1),practice
5698,主詞目,修改,siu-kái,一般動詞-行為動詞,5698(1),Revise
5699,主詞目,修面,siu-bīn,理容、化妝,5699(1),shave
5700,主詞目,倉庫,tshng-khòo,建築物、結構,5700(1),storehouse
5701,主詞目,修理,siu-lí,,5701(1),repair
5702,主詞目,修補,siu-póo,生活勞動,5702(1),repair
5703,主詞目,俱樂部,khū-lo̍k-pōo,組織團體,5703(1),club
5704,主詞目,修養,siu-ióng,"氣質態度,教育、學術",5704(1),training
5705,主詞目,修整,siu-tsíng,生活勞動,5705(1),Trim
5706,主詞目,倒,tó,,5706(1),fall
5707,主詞目,倒,tò,,5707(1),fall
5708,主詞目,倖,sīng,,5708(1),fortunate
5709,主詞目,倚,uá,,5709(1),lean on
5710,主詞目,借,tsioh,,5710(1),borrow
5711,主詞目,倩,tshiànn,相關用語,5711(1),Qian
5712,主詞目,倯,sông,,5712(1),倯
5713,主詞目,值,ta̍t,,5713(1),value
5714,主詞目,值,ti̍t,,5714(1),value
5715,主詞目,兼,kiam,,5715(1),simultaneous
5716,主詞目,冤,uan,交際應酬,5716(1),injustice
5717,主詞目,准,tsún,心理活動,5717(1),allow
5718,主詞目,凊,tshìn,性質、程度,5718(1),chilly
5719,主詞目,凍,tàng,自然現象,5719(1),freeze
5720,主詞目,凍,tòng,自然現象,5720(1),freeze
5721,主詞目,剔,thak,,5721(1),tick
5722,主詞目,剝,pak,,5722(1),peel
5723,主詞目,借人,tsioh--lâng,,5723(1),Borrow someone
5724,主詞目,冤仇,uan-siû,,5724(1),enmity
5725,主詞目,冤仇人,uan-siû-lâng,交際應酬,5725(1),enemy
5726,主詞目,倒反,tò-píng,副詞,5726(1),On the contrary
5727,主詞目,倒手,tò-tshiú,生理構造,5727(1),Turn over
5728,主詞目,凊心,tshìn-sim,心理活動,5728(1),Resentment
5729,主詞目,倒手爿,tò-tshiú-pîng,空間方位,5729(1),Turn back the hand
5730,主詞目,倒爿,tò-pîng,空間方位,5730(1),Reverse
5731,主詞目,倒去,tò--khì,,5731(1),fall down
5732,主詞目,借用,tsioh-iōng,,5732(1),borrow
5733,主詞目,剝皮,pak-phuê/pak-phê,飲食行為,5733(1),Peel
5734,主詞目,兼任,kiam-jīm/kiam-līm,相關用語,5734(1),concurrently
5735,主詞目,倒吊,tò-tiàu,,5735(1),hanging upside down
5736,主詞目,倒向,tò-hiànn,副詞,5736(1),backward
5737,主詞目,倚年,uá-nî,副詞,5737(1),Yi Nian
5738,主詞目,凊汗,tshìn-kuānn,"反應、表情,傷疾病痛",5738(1),Sweat
5739,主詞目,凍舌,tàng-tsi̍h,飲食行為,5739(1),frozen tongue
5740,主詞目,倒店,tó-tiàm,相關用語,5740(1),Close the store
5741,主詞目,冤屈,uan-khut,,5741(1),injustice
5742,主詞目,冤枉,uan-óng,,5742(1),unjustly accused
5743,主詞目,凌治,lîng-tī,,5743(1),Ling Zhi
5744,主詞目,倩的,tshiànn--ê,"泛稱,相關用語",5744(1),Beautiful
5745,主詞目,倚近,uá-kīn/uá-kūn,一般動詞-靜態動詞,5745(1),lean close
5746,主詞目,倒面,tò-bīn,空間方位,5746(1),upside down
5747,主詞目,冤家,uan-ke,,5747(1),enemy
5748,主詞目,冤家量債,uan-ke-niû-tsè,,5748(1),Enemies weigh debts
5749,主詞目,值班,ti̍t-pan,相關用語,5749(1),on duty
5750,主詞目,候脈,hāu-me̍h,醫療保健,5750(1),waiting pulse
5751,主詞目,倒退,tò-thè,肢體動作,5751(1),fall back
5752,主詞目,借問,tsioh-mn̄g,,5752(1),Ask a question
5753,主詞目,冥婚,bîng-hun,"性別、婚姻,相關器具、活動",5753(1),Dark marriage
5754,主詞目,值得,ta̍t-tit,性質、程度,5754(1),worth
5755,主詞目,凊彩,tshìn-tshái,,5755(1),Colorful
5756,主詞目,倚晝,uá-tàu,時間節令,5756(1),By day
5757,主詞目,倫理,lûn-lí,,5757(1),ethics
5758,主詞目,凍喙齒,tàng-tshuì-khí,"飲食行為,境況、狀態-擬人",5758(1),Frozen Beak Teeth
5759,主詞目,倒貼,tò-thiap,財務單位、活動,5759(1),reverse posting
5760,主詞目,凊飯,tshìn-pn̄g,食物、飲料、煙酒,5760(1),Eat rice
5761,主詞目,倒剾,tò-khau,,5761(1),reverse
5762,主詞目,倒會仔,tó-huē-á/tó-hē-á,財務單位、活動,5762(1),Damn it
5763,主詞目,候補,hāu-póo,,5763(1),Alternate
5764,主詞目,借過,tsioh-kuè/tsioh-kè,,5764(1),Borrowed
5765,主詞目,倒摔向,tò-siàng-hiànn,副詞,5765(1),fall backwards
5766,主詞目,冤魂,uan-hûn,神明、鬼怪、教派,5766(1),Wrong soul
5767,主詞目,倒彈,tò-tuānn,,5767(1),Rebound
5768,主詞目,倒數,tó-siàu,財務單位、活動,5768(1),reciprocal
5769,主詞目,倒踏,tò-ta̍h,空間方位,5769(1),trample
5770,主詞目,倚靠,uá-khò,,5770(1),rely
5771,主詞目,倚壁,uá-piah,肢體動作,5771(1),leaning against the wall
5772,主詞目,倒擔,tó-tànn,,5772(1),Backloading
5773,主詞目,凌遲,lîng-tî,,5773(1),Lingchi
5774,主詞目,候選人,hāu-suán-jîn/hāu-suán-lîn,泛稱,5774(1),candidate
5775,主詞目,借錢,tsioh tsînn,財務單位、活動,5775(1),borrow money
5776,主詞目,值錢,ta̍t-tsînn,"財務單位、活動,性質、程度",5776(1),valuable
5777,主詞目,倒頭,tò-thâu,副詞,5777(1),Fall over
5778,主詞目,倒頭行,tò-thâu-kiânn,肢體動作,5778(1),Back to the line
5779,主詞目,倒頭栽,tò-thâu-tsai,肢體動作,5779(1),Falling headfirst
5780,主詞目,凊糜,tshìn-muê/tshìn-bê,食物、飲料、煙酒,5780(1),凊米
5781,主詞目,凍霜,tàng-sng,,5781(1),Frost
5782,主詞目,兼職,kiam-tsit,相關用語,5782(1),part time
5783,主詞目,倒覆,tò-phak,肢體動作,5783(1),overturn
5784,主詞目,倒轉,tò-tńg,一般動詞-行為動詞,5784(1),reverse
5785,主詞目,借蹛,tsioh-tuà,房屋租賃、搬遷,5785(1),Borrow a cocoon
5786,主詞目,凍露水,tàng-lōo-tsuí,交際應酬,5786(1),freezing dew
5787,主詞目,兼顧,kiam-kòo,,5787(1),take into account
5788,主詞目,勍,khiang,一般動詞-行為動詞,5788(1),Qing
5789,主詞目,匪,huí,相關用語,5789(1),bandit
5790,主詞目,厝,tshù,建築物、結構,5790(1),house
5791,主詞目,員,uân,數詞、量詞,5791(1),member
5792,主詞目,哥,ko,稱謂輩分,5792(1),elder brother
5793,主詞目,哩,--lih,助詞、嘆詞,5793(1),Miles
5794,主詞目,哩,mai,數詞、量詞,5794(1),Miles
5795,主詞目,哪,ná,疑問詞,5795(1),where
5796,主詞目,哭,khàu,感官動作,5796(1),cry
5797,主詞目,哹,pu,"擬聲、擬態,代名詞",5797(1),哹
5798,主詞目,哺,pōo,飲食行為,5798(1),feed
5799,主詞目,哼,hainn,,5799(1),snort
5800,主詞目,哼,--hngh,助詞、嘆詞,5800(1),snort
5801,主詞目,哽,kénn,飲食行為,5801(1),choking
5802,主詞目,唅,--hannh,助詞、嘆詞,5802(1),sigh
5803,主詞目,唉,haih,助詞、嘆詞,5803(1),well
5804,主詞目,唔,onn,,5804(1),Hmm
5805,主詞目,唚,tsim,感官動作,5805(1),唚
5806,主詞目,唐山,Tn̂g-suann,"地理,相關用語",5806(1),Tangshan
5807,主詞目,原子筆,guân-tsú-pit,生活用品,5807(1),ballpoint pen
5808,主詞目,厝內,tshù-lāi,,5808(1),Inside the house
5809,主詞目,哪毋,ná m̄,副詞,5809(1),Na Wu
5810,主詞目,勍仔,khiang-á,泛稱,5810(1),Qingzi
5811,主詞目,厝主,tshù-tsú,"泛稱,房屋租賃、搬遷",5811(1),Lord of the house
5812,主詞目,原本,guân-pún,副詞,5812(1),original
5813,主詞目,哪未,ná buē/ná bē,副詞,5813(1),Na Wei
5814,主詞目,厝瓦,tshù-hiā,建築物、結構,5814(1),tile
5815,主詞目,原在,guân-tsāi,副詞,5815(1),original
5816,主詞目,厝地,tshù-tē/tshù-tuē,建築物、結構,5816(1),house
5817,主詞目,厝宅,tshù-the̍h,建築物、結構,5817(1),house
5818,主詞目,原早,guân-tsá,時間節令,5818(1),Yuan Zao
5819,主詞目,原位,guân-uī,空間方位,5819(1),in situ
5820,主詞目,原告,guân-kò,法律,5820(1),plaintiff
5821,主詞目,原形,guân-hîng,事、物泛稱,5821(1),Original form
5822,主詞目,厝角鳥仔,tshù-kak-tsiáu-á,禽類,5822(1),Cuojiao bird boy
5823,主詞目,厝角頭,tshù-kak-thâu,建築物、結構,5823(1),Cuojiaotou
5824,主詞目,哭呻,khàu-tshan,,5824(1),Cry and moan
5825,主詞目,原底,guân-té/guân-tué,副詞,5825(1),original bottom
5826,主詞目,哭爸,khàu-pē,,5826(1),Cry dad
5827,主詞目,哭爸哭母,khàu-pē-khàu-bú,,5827(1),"Cry dad, cry mom"
5828,主詞目,原則,guân-tsik,事、物泛稱,5828(1),in principle
5829,主詞目,厝契,tshù-khè/tshù-khuè,房屋租賃、搬遷,5829(1),house deed
5830,主詞目,哭枵,khàu-iau,,5830(1),cry
5831,主詞目,哥哥,ko--koh,"宗族、家庭,稱謂輩分",5831(1),elder brother
5832,主詞目,哼哼叫,hainn-hainn-kiò,"反應、表情,擬聲、擬態",5832(1),humming
5833,主詞目,唔唔睏,onn-onn-khùn,生活狀況,5833(1),Not sleepy
5834,主詞目,哩哩囉囉,li-li-lo-lo,副詞,5834(1),Lililuoluo
5835,主詞目,原料,guân-liāu,事、物泛稱,5835(1),raw material
5836,主詞目,原理,guân-lí,事、物泛稱,5836(1),principle
5837,主詞目,厝頂,tshù-tíng,建築物、結構,5837(1),House top
5838,主詞目,唚喙,tsim-tshuì,感官動作,5838(1),beak
5839,主詞目,厝稅,tshù-suè/tshù-sè,"房屋租賃、搬遷,錢財資產",5839(1),House tax
5840,主詞目,哪著,ná-tio̍h,副詞,5840(1),Where
5841,主詞目,哽著,kénn-tio̍h,飲食行為,5841(1),choked
5842,主詞目,哪會,ná ē,疑問詞,5842(1),How could
5843,主詞目,厝跤,tshù-kha,"泛稱,房屋租賃、搬遷",5843(1),Cuoqiao
5844,主詞目,哭路頭,khàu-lōo-thâu,相關器具、活動,5844(1),Crying on the road
5845,主詞目,原價,guân-kè,"商業,財務單位、活動",5845(1),original price
5846,主詞目,哭調仔,khàu-tiāu-á,戲劇、音樂,5846(1),Crying boy
5847,主詞目,原諒,guân-liōng,,5847(1),forgive
5848,主詞目,原頭,guân-thâu,"時間節令,商業",5848(1),original head
5849,主詞目,厝頭家,tshù-thâu-ke,"泛稱,房屋租賃、搬遷",5849(1),Cuotoujia
5850,主詞目,厝邊,tshù-pinn,,5850(1),Cuobian
5851,主詞目,厝邊頭尾,tshù-pinn-thâu-bué/tshù-pinn-thâu-bé,泛稱,5851(1),Beside the house
5852,主詞目,匪類,huí-luī,,5852(1),Bandits
5853,主詞目,唷,--ioh,助詞、嘆詞,5853(1),Phew
5854,主詞目,垺,pû,數詞、量詞,5854(1),庺
5855,主詞目,埋,bâi,,5855(1),bury
5856,主詞目,埋,tâi,,5856(1),bury
5857,主詞目,埔,poo,地理,5857(1),Pu
5858,主詞目,埕,tiânn,居住環境,5858(1),cheng
5859,主詞目,夏,hā,"時間節令,國家、社會、民眾,稱謂輩分",5859(1),summer
5860,主詞目,套,thò,數詞、量詞,5860(1),set
5861,主詞目,娘,niâ,"宗族、家庭,稱謂輩分",5861(1),mother
5862,主詞目,娘,niû,"宗族、家庭,稱謂輩分,神明、鬼怪、教派",5862(1),mother
5863,主詞目,娘𡢃,niû-kán,稱謂輩分,5863(1),Mother𡢃
5864,主詞目,埕斗,tiânn-táu,居住環境,5864(1),chengdou
5865,主詞目,娘仔,niû-á,"昆蟲類,泛稱",5865(1),Niangzi
5866,主詞目,娘仔絲,niû-á-si,"動物形體、行為,縫紉洗熨",5866(1),Niangzi silk
5867,主詞目,娘仔葉,niû-á-hio̍h,花草樹木,5867(1),Niangziye
5868,主詞目,娘仔樹,niû-á-tshiū,花草樹木,5868(1),Niangzi tree
5869,主詞目,夏令營,hā-līng-iânn,組織團體,5869(1),summer camp
5870,主詞目,娘仔繭,niû-á-kián,昆蟲類,5870(1),sissy cocoon
5871,主詞目,埔姜,poo-kiunn,"花草樹木,醫療保健",5871(1),Pujiang
5872,主詞目,娘娘,niû-niû,,5872(1),empress
5873,主詞目,套話,thò-uē,,5873(1),cliché
5874,主詞目,娘嬭,niû-lé,"宗族、家庭,稱謂輩分",5874(1),Niang Ni
5875,主詞目,孫,sun,稱謂輩分,5875(1),sun
5876,主詞目,宮,king,國家、社會、民眾,5876(1),palace
5877,主詞目,宮,kiong,居住環境,5877(1),palace
5878,主詞目,害,hāi,,5878(1),Harmful
5879,主詞目,家,ka,,5879(1),Home
5880,主詞目,家,ke,數詞、量詞,5880(1),Home
5881,主詞目,容,iông,一般動詞-靜態動詞,5881(1),Allow
5882,主詞目,射,siā,,5882(1),shoot
5883,主詞目,屑,sut,事、物泛稱,5883(1),crumbs
5884,主詞目,展,tián,,5884(1),exhibition
5885,主詞目,展,thián,肢體動作,5885(1),exhibition
5886,主詞目,屘,ban,相關用語,5886(1),Cunt
5887,主詞目,島,tó/tóo,"地理,自然現象",5887(1),island
5888,主詞目,崁,khàm,"地理,一般動詞-行為動詞,一般動詞-靜態動詞",5888(1),Kan
5889,主詞目,差,tsua̍h,,5889(1),Difference
5890,主詞目,差,tsha,,5890(1),Difference
5891,主詞目,差,tshe,,5891(1),Difference
5892,主詞目,師,sai,地位、身世、背景,5892(1),division
5893,主詞目,師,su,"地位、身世、背景,相關用語",5893(1),division
5894,主詞目,席,si̍k,數詞、量詞,5894(1),seat
5895,主詞目,座,tsō,數詞、量詞,5895(1),seat
5896,主詞目,庫,khòo,,5896(1),Library
5897,主詞目,害了了,hāi-liáu-liáu,性質、程度,5897(1),Damn
5898,主詞目,宮女,kiong-lí/kiong-lú,泛稱,5898(1),maid
5899,主詞目,家己,ka-kī,代名詞,5899(1),Jiaji
5900,主詞目,家己人,ka-kī-lâng,泛稱,5900(1),family members
5901,主詞目,容允,iông-ín/iông-ún,心理活動,5901(1),Rong Yun
5902,主詞目,差不多,tsha-put-to,"待人處事,性質、程度",5902(1),almost
5903,主詞目,師父,su-hū,"地位、身世、背景,神職、神巫、信徒",5903(1),master
5904,主詞目,孫仔,sun-á,"宗族、家庭,稱謂輩分",5904(1),Sun Tsai
5905,主詞目,屘仔,ban-á,"宗族、家庭,稱謂輩分",5905(1),cunt
5906,主詞目,師仔,sai-á,"泛稱,地位、身世、背景",5906(1),Shizi
5907,主詞目,師兄,su-hiann,"稱謂輩分,神職、神巫、信徒",5907(1),Senior brother
5908,主詞目,害去,hāi--khì,境況、狀態-擬物,5908(1),Harm away
5909,主詞目,師母,su-bió,"稱謂輩分,神職、神巫、信徒",5909(1),Teacher's wife
5910,主詞目,家甲,ke-kah,宗族、家庭,5910(1),Jiajia
5911,主詞目,家伙,ke-hué/ke-hé,錢財資產,5911(1),guy
5912,主詞目,屘囝,ban-kiánn,"宗族、家庭,稱謂輩分",5912(1),嘘囝
5913,主詞目,家私,ke-si,生產工具,5913(1),furniture
5914,主詞目,家事,ka-sū,生活勞動,5914(1),Housework
5915,主詞目,宵夜,siau-iā,食物、飲料、煙酒,5915(1),night snack
5916,主詞目,師姑,su-koo,神職、神巫、信徒,5916(1),aunt
5917,主詞目,庫房,khòo-pâng,建築物、結構,5917(1),warehouse
5918,主詞目,家長,ka-tiúnn,"泛稱,宗族、家庭",5918(1),parents
5919,主詞目,家門,ka-mn̂g,宗族、家庭,5919(1),door
5920,主詞目,展威,tián-ui,一般動詞-活動動詞,5920(1),Show your power
5921,主詞目,家後,ke-āu,"泛稱,宗族、家庭,性別、婚姻",5921(1),After home
5922,主詞目,展風神,tián-hong-sîn,,5922(1),Zhan Fengshen
5923,主詞目,家婆,ke-pô,個性風格,5923(1),Mother-in-law
5924,主詞目,家教,ka-kàu,軍公教業,5924(1),Tutor
5925,主詞目,差教,tshe-kà,,5925(1),missionary education
5926,主詞目,崁頂,khàm-tíng,地理,5926(1),Kanding
5927,主詞目,師傅,sai-hū,"泛稱,地位、身世、背景",5927(1),master
5928,主詞目,孫婿,sun-sài,"宗族、家庭,稱謂輩分",5928(1),Sun son-in-law
5929,主詞目,展開,thián-khui,肢體動作,5929(1),Expand
5930,主詞目,宴會,iàn-huē,,5930(1),banquet
5931,主詞目,崁跤,khàm-kha,"地理,空間方位",5931(1),Kanjiu
5932,主詞目,師資,su-tsu,"軍公教業,教育、學術",5932(1),teachers
5933,主詞目,崁蓋,khàm-kuà,一般動詞-行為動詞,5933(1),Kangai
5934,主詞目,容貌,iông-māu,生理構造,5934(1),appearance
5935,主詞目,庫銀,khòo-gîn/khòo-gûn,錢財資產,5935(1),Ku Yin
5936,主詞目,宮廟,king-biō,"建築物、結構,相關器具、活動",5936(1),palace temple
5937,主詞目,射箭,siā-tsìnn,,5937(1),archery
5938,主詞目,師範的,su-huān--ê,"軍公教業,教育、學術",5938(1),Normal
5939,主詞目,差錯,tsha-tshò,事、物泛稱,5939(1),error
5940,主詞目,庫錢,khòo-tsînn,相關器具、活動,5940(1),treasury money
5941,主詞目,崁頭崁面,khàm-thâu-khàm-bīn,氣質態度,5941(1),Kantoukan noodles
5942,主詞目,展翼,thián-si̍t,動物形體、行為,5942(1),spread wings
5943,主詞目,害蟲,hāi-thâng,昆蟲類,5943(1),pests
5944,主詞目,差額,tsha-gia̍h,事、物泛稱,5944(1),difference
5945,主詞目,家譜,ka-phóo,宗族、家庭,5945(1),genealogy
5946,主詞目,展寶,tián-pó,,5946(1),Show treasure
5947,主詞目,展覽,tián-lám,,5947(1),exhibition
5948,主詞目,弱,jio̍k/lio̍k,性質、程度,5948(1),weak
5949,主詞目,徒,tôo,相關用語,5949(1),only
5950,主詞目,恁,lín,代名詞,5950(1),恁
5951,主詞目,恥,thí,,5951(1),shame
5952,主詞目,恩,in/un,待人處事,5952(1),kindness
5953,主詞目,恩,un,待人處事,5953(1),kindness
5954,主詞目,恭,kiong,氣質態度,5954(1),Gong
5955,主詞目,扇,sìnn,"生活用品,數詞、量詞",5955(1),fan
5956,主詞目,拳,kûn,"肢體動作,數詞、量詞",5956(1),fist
5957,主詞目,挈,khe̍h,,5957(1),pull out
5958,主詞目,挐,jû/lû,,5958(1),take
5959,主詞目,挨,e,,5959(1),suffer
5960,主詞目,挩,thuah,一般動詞-行為動詞,5960(1),pat
5961,主詞目,挨米,e-bí,"農林業,飲食行為",5961(1),Beat the rice
5962,主詞目,徒弟,tôo-tē,"泛稱,稱謂輩分,神職、神巫、信徒",5962(1),apprentice
5963,主詞目,恐怖,khióng-pòo,心理狀態,5963(1),fear
5964,主詞目,挩枋,thuah-pang,"生活用品,縫紉洗熨",5964(1),橩枋
5965,主詞目,恁爸,lín-pē,"宗族、家庭,代名詞",5965(1),Dad
5966,主詞目,挩門,thuah-mn̂g,,5966(1),Knock on the door
5967,主詞目,扇面,sìnn-bīn,生活用品,5967(1),fan
5968,主詞目,恁娘,lín-niâ,,5968(1),Xen Niang
5969,主詞目,恥笑,thí-tshiò,,5969(1),ridicule
5970,主詞目,恩情,un-tsîng,待人處事,5970(1),kindness
5971,主詞目,挨推,e-the,,5971(1),Pushed
5972,主詞目,挨絃仔,e hiân-á,戲劇、音樂,5972(1),Get fucked
5973,主詞目,恭喜,kiong-hí,交際應酬,5973(1),Congratulations
5974,主詞目,挩窗,thuah-thang,傷疾病痛,5974(1),Bang the window
5975,主詞目,恩愛,un-ài,性別、婚姻,5975(1),affection
5976,主詞目,挨粿,e-kué/e-ké,"生活勞動,飲食行為",5976(1),Eat rice cakes
5977,主詞目,挐氅氅,jû-tsháng-tsháng/lû-tsháng-tsháng,,5977(1),Take the cloak
5978,主詞目,拳頭,kûn-thâu,,5978(1),fist
