defid,wordid,partofspeech,def_chinese,def_english
996,739,名詞,經過規劃處理或保留其自然狀態，以做為民眾戶外遊憩及享受大自然的特定場所。,"After planning and processing or retaining its natural state, it can be used as a specific place for people to enjoy outdoor recreation and enjoy nature."
997,740,名詞,祖母、奶奶。稱謂。此為敘述用法，一般面稱為「阿媽」(a-má)。,"Grandma, grandma. title. This is a descriptive usage, and is generally called ""A-má"" (a-má)."
998,741,名詞,祖先。,ancestor.
999,741,名詞,祖先的神主牌。,The main card of the ancestors.
1000,742,動詞,合人心意。,Suitable for everyone.
1001,743,形容詞,仁厚慈愛。,Kind and loving.
1002,744,形容詞,和善、善良。慈悲，寬大慈善。,"Be kind and kind. Compassion, generosity and charity."
1003,745,名詞,埋葬時的煞氣。,The evil spirit at the time of burial.
1004,746,形容詞,不合道德的行為。,Unethical behavior.
1005,747,形容詞,仁愛正義、寬厚正直。,"Love, justice, generosity and integrity."
1006,748,名詞,衣物不露出在外的裡層。,The inner layer of clothing is not exposed.
1007,749,動詞,抽腳、抽腿、退卻、裹足。因突發狀況而打消本來的意願。,"Twitch the feet, pump the legs, retreat, bind the feet. Cancellation of original intention due to unexpected circumstances."
1008,750,名詞,各路、各處。指東、西、南、北、中五個方向。,"All roads, everywhere. Refers to the five directions of east, west, south, north and center."
1009,751,名詞,由公家修建管理，人民可以自由通行的道路。,Roads built and managed by the public and accessible to the people.
1010,752,形容詞,公平、公正。正直，沒有偏私。,Fair and just. Integrity and no partiality.
1011,752,形容詞,價格合理。,The price is reasonable.
1012,753,名詞,不符合心意。,Not to my liking.
1013,754,名詞,指壽、富、康寧、攸好德、考終命等五種福氣，也有指壽、富、貴、安樂、子孫眾多五種福氣。,"It refers to the five blessings of longevity, wealth, health, good virtue, and longevity. It also refers to the five blessings of longevity, wealth, honor, peace, and having many descendants."
1014,755,副詞,隨時、任何時候。,"Any time, any time."
1015,756,名詞,立憲國家的最高行政機構，設有閣揆一人，和閣員若干人。,The highest administrative body of a constitutional country has a cabinet minister and a number of cabinet members.
1016,757,名詞,呆賬、爛賬。,Bad debts and bad debts.
1017,758,名詞,表示成績高低的數字。,A number indicating the level of achievement.
1018,759,名詞,泛指各種主要的穀物。普通說法以稻、小米、高梁、大麥、豆類為五穀。,"Refers to various major cereals. Generally speaking, rice, millet, sorghum, barley, and beans are the five grains."
1019,760,名詞,指實施中等教育的學校，程度介於小學和大學之間，舊分初高兩級，期限各三年，今初級中學已經劃入國民中小學九年一貫的教育範疇內。,"Refers to schools that implement secondary education. The level is between primary school and university. It used to be divided into two levels: junior high and high, each lasting three years. Now junior high schools have been included in the nine-year education scope of national primary and secondary schools."
1020,761,名詞,日治時期臺灣人就讀的基礎教育學校，相當於現在的小學。,The basic education schools that Taiwanese attended during the Japanese occupation were equivalent to today's primary schools.
1021,762,名詞,中人。調解、勸和的人。,middle man. A person who mediates and persuades.
1022,763,動詞,乞丐向人要錢。,A beggar asks for money.
1023,763,動詞,依約定分配錢財。,Distribute money according to agreement.
1024,764,名詞,敬稱他人的住所。,Address someone else's residence with respect.
1025,764,名詞,官吏的辦公室。,Official's office.
1026,764,名詞,官方所屬，可讓民眾公開聚集的場所。,An official place where people can gather publicly.
1027,764,名詞,鄉鎮名。,Township name.
1028,765,名詞,沒有蟹黃的蟳。,A crab without crab roe.
1029,766,名詞,中國傳統的醫學。,Traditional Chinese medicine.
1030,766,名詞,以中醫治療病人的醫生。,A doctor who treats patients with traditional Chinese medicine.
1031,767,動詞,依照事物的不同性質來做區隔。,Make distinctions based on the different properties of things.
1032,768,量詞,計算時間的單位。六十分鐘為一小時。,The unit in which time is calculated. Sixty minutes make up one hour.
1033,769,動詞,分別攤付。,Pay separately.
1034,770,名詞,指心、肝、脾、肺、腎等五大器官，也可泛指一切內臟。,"It refers to the five major organs including the heart, liver, spleen, lungs, and kidneys, and can also refer to all internal organs in general."
1035,771,動詞,燈或火熄滅。,The lamp or fire goes out.
1036,771,動詞,病情嚴重，瀕臨死亡。,His condition was serious and he was on the verge of death.
1037,772,動詞,從有到無的消融、分解。,Dissolution and decomposition from existence to nothingness.
1038,772,動詞,化解。,resolve.
1039,772,動詞,消除。,eliminate.
1040,773,量詞,計算布帛類紡織品的單位。,A unit used to calculate fabrics and textiles.
1041,773,量詞,計算馬的單位。,Calculate horse units.
1042,774,量詞,計算容量的單位。十合為一升，十升為一斗。,"The unit used to calculate capacity. Ten liters together make one liter, and ten liters make up one bucket."
1043,774,名詞,用來量米的器具。,An instrument used to measure rice.
1044,775,動詞,由下而上。,Bottom up.
1045,775,動詞,晉級。,Advance.
1046,776,名詞,地支的第七位。,The seventh of the Earthly Branches.
1047,777,名詞,地支的第七位，十二生肖中以午屬馬。,"The seventh of the earthly branches, among the twelve zodiac signs, Wu belongs to the horse."
1048,777,時間詞,時辰名，上午十一點到下午一點。,"Time name, from 11 am to 1 pm."
1049,777,時間詞,一日的正當中。,The middle of the day.
1050,778,名詞,災難。,disaster.
1051,779,名詞,意氣相投、情誼互通的人。,People who share the same spirit and friendship.
1052,780,動詞,改變、變化。,"Change, change."
1053,780,動詞,回過頭來。,Come back.
1054,780,名詞,亂。,chaos.
1055,780,動詞,背離、背叛。,"Departure, betrayal."
1056,781,動詞,翻轉、反轉。,"Flip, reverse."
1057,781,動詞,翻覆。,Capsize.
1058,781,動詞,翻閱。,Flip through.
1059,781,動詞,掏。,dig.
1060,781,動詞,籌劃、重大改變。,"Planning, major changes."
1061,782,名詞,天干的第九位。,The ninth place of heavenly stems.
1062,783,名詞,地球周圍，日月星辰羅列的空間，宗教上是指神靈居住的世界。,"The space around the earth where the sun, moon and stars line up, religiously refers to the world where gods live."
1063,783,名詞,自然、宇宙萬物的主宰。,The master of nature and the universe.
1064,783,形容詞,上天的、天堂的。,"Heavenly, heavenly."
1065,783,名詞,日子。,day.
1066,783,形容詞,自然的、天生的、非人為的。,"Natural, innate, non-artificial."
1067,784,名詞,地球周圍，日月星辰羅列的空間，宗教上是指神靈居住的世界。,"The space around the earth where the sun, moon and stars line up, religiously refers to the world where gods live."
1068,784,名詞,自然、宇宙萬物的主宰。,The master of nature and the universe.
1069,784,名詞,氣候。,climate.
1070,785,副詞,很、非常、極度。,"Very, very, extremely."
1071,785,名詞,對長輩或極尊貴的人的尊稱。,A respectful title for an elder or a very distinguished person.
1072,786,名詞,男子的稱呼。,A title for men.
1073,786,名詞,婚後女子對男子的稱謂。,The title a woman calls a man after marriage.
1074,786,名詞,從事某種勞動工作的人。,A person engaged in some kind of labor work.
1075,786,名詞,泛指一般人。,Refers to ordinary people.
1076,787,形容詞,多的相反。大多用於可計數之實體性物質。,Much the opposite. Mostly used for countable physical substances.
1077,788,名詞,樂譜音名。工尺譜是中國傳統記錄樂譜的方法，而現今最通行的工尺譜中的第二個音即為「尺」，也就是現在首調唱名法中的Re。,"Music score sound name. Gongchipu is the traditional Chinese method of recording music scores, and the second sound in the most popular Gongchipu today is ""Chi"", which is the Re in the current first tune singing method."
1078,789,量詞,計算長度的單位，約30公分。,The unit for calculating length is approximately 30 centimeters.
1079,789,名詞,測量長度的工具。,Tool for measuring length.
1080,789,名詞,胰臟。,pancreas.
1081,790,數詞,數字，指二十，是二十的合音。,"The number refers to twenty, which is the syllable of twenty."
1082,791,動詞,導領。,leadership.
1083,791,動詞,招來、挑起。,"To provoke, to provoke."
1084,792,名詞,人體器官之一。,One of the human organs.
1085,792,名詞,思想、意念。,"Thoughts, ideas."
1086,792,名詞,心地、心性。,"Mind, character."
1087,792,名詞,意志力量。,Strength of will.
1088,792,名詞,意願。,Will.
1089,792,名詞,物體的中央或內部。,The center or interior of an object.
1090,793,名詞,單扇的門。,Single door.
1091,793,名詞,家庭。,family.
1092,793,量詞,做為計算各個家庭的單位用詞。,Used as a unit for calculating each household.
1093,794,名詞,指人體的上肢部分。,Refers to the upper limbs of the human body.
1094,794,名詞,引申作擅長某種技術的人。,"By extension, a person who is good at a certain technology."
1095,794,名詞,指事物的一部分。,Refers to a part of something.
1096,795,量詞,計算口鼻、骨頭及某些事物的單位。,"Calculate the units of the mouth, nose, bones, and certain things."
1097,796,名詞,語言的符號，多指文字或文章。,Language symbols mostly refer to words or articles.
1098,796,名詞,文言。,Classical Chinese.
1099,796,形容詞,斯文、文雅。,Gentle and elegant.
1100,797,量詞,計算容量的單位。十升為一斗。,The unit used to calculate capacity. Ten liters equals a bucket.
1101,797,名詞,形狀似斗的盛物器具及身體部位。,Utensils and body parts shaped like buckets.
1102,797,量詞,次、回。計算次數的單位。,"times, back. The unit for counting times."
1103,798,量詞,計算重量的單位。台制一斤等於零點六公斤，又等於十六兩。,"The unit used to calculate weight. One pound made in Taiwan is equal to 0.6 kilograms, which is also equal to sixteen taels."
1104,799,名詞,配藥的單子。,Dispensing list.
1105,799,名詞,地區、定點。,"Region, fixed point."
1106,800,名詞,位置、方向 。,"location, direction."
1107,800,名詞,方法、辦法。,"Method, approach."
1108,801,名詞,太陽。,sun.
1109,801,量詞,計算天數的單位。,The unit used to calculate days.
1110,801,名詞,日本的省稱。,Japanese province name.
1111,802,名詞,星名。環繞地球運行的星球，即「月亮」。,"Star name. The planet orbiting the earth is the ""moon""."
1112,802,名詞,女子名。,Female name.
1113,803,名詞,月亮、月球。星名。地球的衛星。,"Moon, moon. Star name. Earth's satellite."
1114,803,量詞,計算時間的單位。一年分為十二個月，一個月有三十天左右。,"The unit in which time is calculated. A year is divided into twelve months, and a month has about thirty days."
1115,803,形容詞,像月亮的、和月亮有關的。,Moon-like and moon-related.
1116,804,名詞,樹。木本植物的通稱。,Tree. A common name for woody plants.
1117,804,名詞,木工。,carpentry.
1118,805,名詞,樹。木本植物的通稱。,Tree. A common name for woody plants.
1119,805,名詞,材料。,Material.
1120,805,名詞,棺材。,coffin.
1121,805,名詞,五行之一。五行指水、火、木、金、土五種物質，古代視為構成萬物的基本元素。,"One of the five elements. The five elements refer to the five substances of water, fire, wood, metal, and earth, which were regarded as the basic elements that constitute all things in ancient times."
1122,806,動詞,賒欠。,Credit.
1123,806,動詞,缺少。,Lack.
1124,807,動詞,停住、不動、止息。,"Stop, stop, stop."
1125,807,副詞,到……為界。,To... as the boundary.
1126,807,副詞,僅只。,Only.
1127,808,形容詞,壞。惡的、不好的。,"bad. Evil, bad."
1128,808,動詞,壞掉。,Broken.
1129,808,動詞,對人凶惡。,Be vicious to people.
1130,808,副詞,不容易地。,Not easily.
1131,808,動詞,使……受傷、受損。,To cause... to be injured or damaged.
1132,809,副詞,表示否定。,Expresses negation.
1133,809,助詞,表示疑問的語末助詞，用在句尾表示反問的意思。,"A final particle expressing a question, used at the end of a sentence to express a rhetorical question."
1134,809,副詞,表示臆測。,expresses conjecture.
1135,809,副詞,表示強調的語氣。,Expresses an emphasis.
1136,809,副詞,不然、否則。,"Otherwise, otherwise."
1137,810,動詞,量尺寸、試大小。,Measure and try the size.
1138,810,動詞,比擬。,match.
1139,810,動詞,指、比畫。,Point and draw.
1140,810,動詞,較量。,Contest.
1141,810,動詞,等同。,Equivalent.
1142,810,動詞,比率。,ratio.
1143,811,名詞,動植物表皮上所生出的毛髮。,The hairs that grow on the epidermis of animals and plants.
1144,811,形容詞,形容細小。,Describe small.
1145,812,名詞,動植物表皮上所生出的毛髮。,The hairs that grow on the epidermis of animals and plants.
1146,812,形容詞,約略的、不純的。,"Rough, impure."
1147,812,名詞,姓氏。,Surname.
1148,813,名詞,姓的分支，用來分別子孫的支派。,The branch of the surname is used to distinguish the tribes of descendants.
1149,813,名詞,古時稱呼婦人，在夫家姓之後加「氏」。,"In ancient times, when addressing a woman, ""surname"" was added after her husband's surname."
1150,814,名詞,由氫氣和氧氣化合而成、無色無味的液體。,A colorless and odorless liquid composed of hydrogen and oxygen.
1151,814,形容詞,引申為表示水分多寡。,Extended to indicate the amount of moisture.
1152,814,量詞,計算動植物繁殖或收穫次數的單位。,A unit used to count the number of times animals or plants are reproduced or harvested.
1153,814,,名詞後綴。,noun suffix.
1154,815,名詞,各種江、河等水域的通稱。,"A general name for various rivers, rivers and other water bodies."
1155,815,名詞,傳統中醫對「尿液」的一種別稱。,"Another name for ""urine"" in traditional Chinese medicine."
1156,816,名詞,壞榜樣、不好的帶頭者。,"Bad example, bad leader."
1157,817,名詞,衣袖。衣服的袖子，也就是從肩膀以下的部分。,"Sleeves. The sleeves of clothing, that is, the part from the shoulders down."
1158,818,數詞,二十一。,Twenty-one.
1159,819,名詞,古代諸侯或高官顯爵的妻子，也可用來稱現今高官的妻子。,The wives of ancient princes or high-ranking officials who showed their nobility can also be used to refer to the wives of current high-ranking officials.
1160,819,名詞,敬稱他人的妻子。,Address someone else's wife with respect.
1161,820,名詞,壞人、惡人、歹徒。品性、行為不良的人。,"Bad guys, villains, gangsters. People with bad character and behavior."
1162,821,名詞,天九、牌九。一種紙牌或骨牌的賭博遊戲。,"Tianjiu, Pai Gow. A gambling game of cards or dominoes."
1163,822,名詞,整個世界。,The whole world.
1164,823,名詞,指天生聰明或者具備天賦才能的人。,Refers to a person who is naturally smart or has talents.
1165,824,名詞,年輕未婚的女孩子。,Young unmarried girl.
1166,825,名詞,計算某一地域的家庭及其人口數的計量單位。,A unit of measurement used to calculate the number of households and their population in a certain area.
1167,825,名詞,指個人的戶籍資料。,Refers to personal household registration information.
1168,826,名詞,部下、部屬。,"Subordinates, subordinates."
1169,827,名詞,依靠雙手製造物品的工夫。,The skill of making things with your hands.
1170,827,形容詞,指用傳統手工做的。,It means made by traditional hand.
1171,828,時間詞,時間、期間。,"time, period."
1172,828,時間詞,黃曆上帶有吉凶的日期。,The almanac carries good and bad dates.
1173,828,時間詞,生活。,Life.
1174,829,名詞,從事木器製造的人。,A person engaged in woodworking.
1175,829,名詞,用木材當材料的工藝。,The craft of using wood as material.
1176,830,連詞,……才……。,……talent…….
1177,831,名詞,一個地方的氣候、水質與土性等自然環境。,"A place’s natural environment such as climate, water quality and soil properties."
1178,832,名詞,對孔子的尊稱。,An honorific title for Confucius.
1179,833,名詞,手帕。,handkerchief.
1180,834,名詞,正名、本名。登記在戶口名簿上的名字，有別一般偏名。,"Correct name, real name. The name registered in the household register is different from the ordinary partial name."
1181,835,名詞,指主管男女婚姻的神，也有人用以稱呼媒人。,"Refers to the god who is in charge of marriage between men and women, and some people also use it to refer to matchmakers."
1182,836,名詞,戶籍謄本。戶政機關戶籍登記的抄錄本。,Transcript of household registration. Transcript of household registration from the household registration authority.
1183,837,名詞,天窗。屋頂上的窗戶。,skylight. Windows on the roof.
1184,837,名詞,院子。房子中央井字形的院子，方便採光和通風。,courtyard. The well-shaped courtyard in the center of the house facilitates lighting and ventilation.
1185,838,名詞,天老爺、老天爺。,"God, God."
1186,839,時間詞,指每一個月的中旬。,Refers to the middle of each month.
1187,840,名詞,月子。指婦人生產後一個月之內的時期。,Confinement. Refers to the period within one month after a woman gives birth.
1188,841,名詞,從地面往下鑿打而成，可以取水的深洞。,A deep hole drilled from the ground down to draw water.
1189,842,名詞,俗稱玉皇大帝的誕辰。,It is commonly known as the birthday of the Jade Emperor.
1190,843,名詞,產婦坐月子的房間。,The room where mothers undergo confinement.
1191,844,名詞,天金、大壽金。金紙的一種，專門燒給玉皇大帝的金紙，是金紙中最大張的。,"Heavenly gold and longevity gold. A kind of gold paper, the gold paper specially burned to the Jade Emperor is the largest piece of gold paper."
1192,845,名詞,產褥熱。病名。產婦在生產後產道因病菌感染而引起的疾病。主要症狀為發燒、下腹疼痛、陰道流血等。最常感染的部位為子宮內膜。亦稱為「月子病」。,"Puerperal fever. Disease name. Diseases caused by bacterial infection of the birth canal after delivery. The main symptoms are fever, lower abdominal pain, vaginal bleeding, etc. The most common site of infection is the endometrium. Also known as ""confinement disease""."
1193,846,名詞,老天爺。,God.
1194,847,動詞,變天。天氣由晴轉變成陰或雨。,change of weather. The weather changes from sunny to cloudy or rainy.
1195,848,名詞,天空中包括日、月、星辰以及風、雲、雨、雪等一切的自然現象。,"The sky includes the sun, moon, stars, wind, clouds, rain, snow and all other natural phenomena."
1196,849,名詞,對已婚女子的尊稱。,An honorific title for a married woman.
1197,849,名詞,丈夫稱呼自己的妻子。 ,A husband calls his wife. 
1198,850,名詞,一種在一個特定地區內生活的群體，依據團體價值所學習得來的行為組合。其所共享的信念、價值觀、行為模式(儀式、風俗習慣)及語言則包括了有形的生活產品(如食物、家具、建築、衣服、工具)及無形的人文概念(如教育、制度、法律)等。,"A combination of behaviors learned by a group living in a specific area based on group values. The shared beliefs, values, behavior patterns (rituals, customs and habits) and language include tangible life products (such as food, furniture, buildings, clothes, tools) and intangible humanistic concepts (such as education, institutions, laws) wait."
1199,851,量詞,一個月的時間。,One month's time.
1200,852,名詞,惡劣的天氣。,Bad weather.
1201,853,形容詞,壞心。形容人居心不良或心腸惡毒。,Bad intentions. Describes a person with bad intentions or a vicious heart.
1202,854,形容詞,形容手部因為受傷而行動不便。,Describes difficulty in moving the hand due to injury.
1203,854,形容詞,手腳不乾淨。形容人有好偷竊的習慣。,Hands and feet are not clean. Describes a person who has a habit of stealing.
1204,855,動詞,微笑、淺笑。,"Smile, smile."
1205,856,熟語,亂世、天下大亂。形容國家或局勢動亂不安。,"In troubled times, the world is in chaos. Describes a country or situation that is in turmoil."
1206,857,名詞,木心板、三夾板。厚的三夾板，中間為集成材實心木板，另外兩面貼木紋皮，是常見的建築材料。,"Wood core board, plywood. Thick plywood, with a solid laminated board in the middle and wood grain skin on the other two sides, is a common building material."
1207,858,名詞,扇貝、帆立貝。貝類。貝扇為扁平狀，左右兩片貝扇的顏色不一樣，一片為白色，一片為紫褐色，所以叫做「日月蚶」。在海水裡行進時，白色貝扇平躺，紫褐色貝扇會揚起來像帆船揚帆前進。,"Scallops, scallops. shellfish. The scallop is flat, and the left and right scallops are of different colors. One is white and the other is purple-brown, so it is called ""Sun and Moon Cock"". When traveling in the sea water, the white clams lie flat, and the purple-brown clams will be raised like a sailboat sailing forward."
1208,859,名詞,扇貝、帆立貝、日月蛤。貝類。貝扇為扁平狀，左右兩片貝扇的顏色不一樣，一片為白色，一片為紫褐色。在海水裡行進時，白色貝扇平躺，紫褐色貝扇會揚起來像帆船揚帆前進。,"Scallops, scallops, clams. shellfish. The scallops are flat in shape, and the left and right scallops are of different colors, one is white and the other is purple-brown. When traveling in the sea water, the white clams lie flat, and the purple-brown clams will be raised like a sailboat sailing forward."
1209,860,動詞,翻身、翻轉。,"Turn over, flip over."
1210,861,名詞,內心的浮躁、激動或者是怒氣。,"Inner impatience, excitement or anger."
1211,862,名詞,原意為手指，引申為「行為、習慣」的意思。,"The original meaning is finger, which is extended to mean ""behavior and habit""."
1212,863,名詞,哺乳動物。體型大，毛色灰黑，擅長耕田。原產於中國南方及印度，荷蘭統治臺灣時自閩南地區引進。,"mammal. They are large in size, with gray and black fur, and are good at farming. It is native to southern China and India and was introduced from southern Fujian when the Dutch ruled Taiwan."
1213,864,名詞,形狀像斗的容器。,A container shaped like a bucket.
1214,865,名詞,壞事、惡事。,"Bad things, evil things."
1215,865,名詞,壞事、壞消息。,"Bad things, bad news."
1216,866,名詞,草本植物。全株有毒，底部的鱗莖略呈倒卵，下端有白色鬚根，冬末春初開白色花，有香味。通常生長在暖地的河邊，或栽植於庭園。,"herb. The whole plant is poisonous. The bulbs at the bottom are slightly obovate and have white fibrous roots at the lower end. White flowers bloom in late winter and early spring, which are fragrant. It usually grows along rivers in warm areas or planted in gardens."
1217,867,動詞,消費、支付的費用、款項。,"Consumption, payments, and payments."
1218,868,時間詞,陰曆每月的十五日，是一個月裡，月最圓的時候。,The fifteenth day of each month in the lunar calendar is the fullest time in the month.
1219,869,熟語,一個多月。,More than a month.
1220,870,副詞,無論如何。,anyway.
1221,871,形容詞,指天下安定無事。,It means the world is peaceful and peaceful.
1222,871,形容詞,沒爭端。,No dispute.
1223,872,名詞,零售商行。,Retailers Row.
1224,873,名詞,瓜果類。果實呈上小下大的洋梨形，果皮粗，呈淺綠色，果肉呈淡黃白色，白底透紅，紅色稍紅等幾種，柔軟多汁，氣味芳香。臺灣地區以麻豆文旦為最有名。,"Melons and fruits. The fruit is in the shape of a pear with a small top and a big bottom. The peel is thick and light green. The flesh is light yellow-white, with a white background and a reddish color. It is soft and juicy and has a fragrant smell. In Taiwan, Madou Bundan is the most famous."
1225,874,名詞,刺絲胞動物（腔腸動物）。體色為膠質透明，形狀像傘蓋，浮游在海上，夜間能放出燐光。大型水母又叫做「海䖳」(hái-thē)，可經人工脫水、處理後成為食材。,"Cnidarians (coelenterates). Its body color is gelatinous and transparent, and its shape is like an umbrella cover. It floats on the sea and emits flaming light at night. Large jellyfish, also called ""sea 薳"" (hái-thē), can be artificially dehydrated and processed into food."
1226,875,動詞,不和。通常指夫妻或朋友之間失和。,Discord. Usually refers to a rift between a couple or friends.
1227,876,名詞,手腕關節突起的骨頭。,A protruding bone in the wrist joint.
1228,876,名詞,手指關節。,Finger joints.
1229,877,名詞,番木瓜。植物名，也稱為「木瓜」。番瓜木科番木瓜屬，草質小喬木。葉具長柄，掌狀分裂。全株有乳汁，雌雄異株，果實卵圓形或橢圓形，成熟後為黃色。供生食或製果汁，可入藥。,"papaya. Botanical name, also known as ""papaya"". Papaya genus of Caricaceae family, small herbaceous tree. The leaves are long-stalked and palmately divided. The whole plant has latex, and is dioecious. The fruit is oval or elliptical, and is yellow when mature. It can be eaten raw or made into juice, and can be used as medicine."
22764,877,名詞,薔薇科木瓜屬，落葉灌木或小喬木。葉橢圓，花分紅白，梨果也稱為「木瓜」，橢圓形。原產於中國大陸湖北、湖南、四川等地，可食亦可供藥用。,"Papaya, a deciduous shrub or small tree in the Rosaceae family. The leaves are oval, the flowers are red and white, and the pear fruit, also called ""papaya"", is oval. It is native to Hubei, Hunan, Sichuan and other places in mainland China. It is edible and can be used for medicine."
1230,878,動詞,缺錢花用。,Lack of money to spend.
1231,878,動詞,需要。,need.
1232,879,副詞,捨不得。,Reluctant to part with it.
1233,879,形容詞,難過、不忍。,"Sad, intolerable."
1234,880,名詞,種植水稻的田，有蓄水保溫以保護稻苗的功用。,The fields where rice is grown have the function of storing water and keeping warm to protect the rice seedlings.
1235,881,名詞,金星。星名。太陽系中最接近太陽的第二個行星。在民間信仰中也是一位神祇。,Venus. Star name. The second closest planet to the sun in the solar system. It is also a deity in folk belief.
1236,882,名詞,將樹薯或玉米磨碎並乾燥成粉狀，於烹調時用作勾芡用。,"Cassava or corn is ground and dried into powder, which is used as thickener in cooking."
1237,883,名詞,相傳為李白所愛喝的酒，用高粱和豌豆等原料做成，主要產在四川省萬縣，臺灣的太白酒以澱粉為釀造原料，主要生產地為埔里酒廠。,"According to legend, Li Bai's favorite wine is made from raw materials such as sorghum and peas. It is mainly produced in Wanxian County, Sichuan Province. Taiwan's Taibai wine uses starch as the brewing raw material and is mainly produced in Puli Distillery."
1238,883,名詞,番薯酒。用番薯澱粉做的酒。,Sweet potato wine. Wine made from sweet potato starch.
1239,884,熟語,不嫌棄。通常是在受到稱讚後的謙虛用語。,Don't dislike it. Usually a humble phrase after receiving a compliment.
1240,885,動詞,翻白眼。黑眼球往上吊，露出白眼球，表示不以為然、不滿的情緒或是快要死的樣子。,"Roll your eyes. The black eyeballs are hung upward and the white ones are exposed, indicating disapproval, dissatisfaction or a look of death."
1241,886,熟語,不甘心、不甘願。,"Unwilling, unwilling."
1242,887,名詞,天亮、破曉。,"Dawn, dawn."
1243,888,名詞,書札、公文類的統稱。,A general term for letters and official documents.
1244,889,名詞,月夜。有月光的夜晚。,Moonlight night. A moonlit night.
1245,890,名詞,照明用具。利用放電現象及光子激發的螢光作用發光的照明用具。,Lighting fixtures. A lighting fixture that emits light by utilizing the discharge phenomenon and fluorescence excited by photons.
1246,891,名詞,捺在文件上的指模印。,Fingerprints on documents.
1247,892,名詞,指東西南北上下等區別。,"Refers to the distinction between east, west, south, north, up and down."
1248,893,名詞,木工師父。,Master carpenter.
1249,894,名詞,不良少年、浪蕩子。,Delinquents and libertines.
1250,895,名詞,天空和地表。,Sky and Earth.
1251,895,名詞,世界、天下。,"The world, the world."
1252,895,名詞,指天神地祇。,Refers to the gods and earth.
1253,896,名詞,年少狀態。,Juvenile state.
1254,896,名詞,指十一、二歲到十六、七歲的青少年。,Refers to teenagers aged 11 or 2 to 16 or 7 years old.
1255,896,形容詞,年紀輕。,Young.
1256,897,名詞,人類用來表示觀念、記錄語言的符號。,Symbols used by humans to express ideas and record language.
1257,898,名詞,做事或說話的方法和形式。,The method and form of doing or speaking.
1258,899,形容詞,不平安、身體不適、生病。,"Unsafe, unwell, sick."
1259,900,形容詞,不好、糟糕。,"Bad, bad."
1260,900,副詞,不能、不可以。,"Can't, can't."
1261,901,名詞,專門用來灌溉的人工水路。,Artificial waterways specially used for irrigation.
1262,902,名詞,荒年、歉歲。農作物收成不好的年頭。,Years of famine and lean years. Years when crops are not good.
1263,903,名詞,年輕力壯的小伙子。,A young and strong young man.
1264,904,副詞,不方便、不湊巧。,Inconvenient and unlucky.
1265,905,名詞,整個手臂彎曲起來所形成的部分。,The part formed by bending the entire arm.
1266,906,形容詞,形容人很兇、很壞，有詛咒人不得好死的意思。,"It is used to describe people who are very fierce and bad, and has the meaning of cursing people into not having a good death."
1267,906,動詞,臨終時遭受痛苦。,Suffering from death.
1268,907,形容詞,不成、算不上。,"No, it doesn’t count."
1269,908,熟語,不肖之徒。罵人不像樣。,Unscrupulous people. It's not cool to curse people.
1270,909,名詞,把手。腳踏車、機車或三輪車等的把手。,"handle. The handles of bicycles, motorcycles or tricycles, etc."
1271,910,名詞,不良少年、小混混。,Delinquents and gangsters.
1272,911,名詞,指微不足道或者無關緊要的事物，有時候是一種客套的用法。,"Refers to trivial or insignificant things, sometimes used politely."
1273,912,形容詞,不像樣。形容人不像人，猴子不像猴子。語氣上比「毋成人」(m̄-tsiânn-lâng)戲謔。,"Not decent. Describes that people are not like humans and monkeys are not like monkeys. The tone is more playful than ""无成"" (m̄-tsiânn-lâng)."
1274,912,形容詞,有可愛、讚揚之意。,It means cuteness and praise.
1275,913,熟語,不像話、不像樣。,"Disgraceful, disgraceful."
1276,914,名詞,天空的顏色。,The color of the sky.
1277,914,名詞,指時間。,Refers to time.
1278,915,名詞,心力。,Mental effort.
1279,916,名詞,心地、心腸。,"Heart, heart."
1280,917,名詞,月光。,moonlight.
1281,918,名詞,蕈菇類。生長在朽腐的樹幹上，成片狀，一邊黏在腐木上，表面向上突出，菌絲體生長後，生子實體，形狀長得像人的耳朵，徑大約一公寸，內面平滑，呈現暗褐色，外面有柔軟的短毛，呈淡褐色。可以供食用。,"Mushrooms. It grows on rotten tree trunks and forms a sheet. One side is stuck to the rotten wood, and the surface protrudes upward. After the mycelium grows, it gives birth to a fruiting body. The shape is like a human ear, about one centimeter in diameter, and the inner surface is smooth and appears Dark brown, with soft short hair on the outside, light brown in color. Available for consumption."
1282,919,動詞,貧血。,anemia.
1283,920,動詞,讓血液不再由傷口流出。,Stop blood from flowing out of the wound.
1284,921,副詞,不只、不但。,"Not only, not only."
1285,921,連詞,不只。表示前一句話的語意尚未完結，還有承接下面的語意。,"not only. It means that the semantic meaning of the previous sentence has not been completed, and there is also the following semantic meaning."
1286,922,副詞,不必、不用、不需要。,"No need, no need, no need."
1287,923,名詞,妻子對丈夫的敬稱。,A wife's honorific title for her husband.
1288,924,名詞,指尖。手掌的指頭、指尖部分。,fingertip. The fingers and fingertips of the palm.
1289,924,名詞,遺產。先人的遺產、遺物。,heritage. The inheritance and relics of ancestors.
1290,925,時間詞,月底。指一個月的最後幾天。,The end of the month. Refers to the last few days of the month.
1291,926,名詞,手腕的力氣或手掌的握力。,Wrist strength or palm grip.
